StudentID,Name,Subjects,Grade,Interests,Preferred_Field,Career_Goal,Learning_Style
STU0001,Student_1,"Math, Physics, Chemistry",37.54,Health,Health,Nurse,Visual
STU0002,Student_2,"Geography, Agriculture, Biology",29.6,Environmental Science,Environmental Science,Conservationist,Auditory
STU0003,Student_3,"Math, Physics, Chemistry",28.81,IT,IT,Software Developer,Visual
STU0004,Student_4,"Math, Physics, Chemistry",41.77,Health,Health,Nurse,Visual
STU0005,Student_5,"Math, Physics, Computer",29.71,Engineering,Engineering,Engineer,Self-paced
STU0006,Student_6,"Geography, Agriculture, Biology",28.86,Environmental Science,Environmental Science,Conservationist,Self-paced
STU0007,Student_7,"Math, Business, Geography",26.98,Business,Business,Entrepreneur,Self-paced
STU0008,Student_8,"Math, Business, Geography",41.64,Business,Business,Entrepreneur,Auditory
STU0009,Student_9,"Math, Physics, Computer",27.75,Business,Business,Entrepreneur,Auditory
STU0010,Student_10,"Biology, Chemistry, Home Science",31.22,Environmental Science,Environmental Science,Conservationist,Visual
STU0011,Student_11,"Math, Computer, English",30.61,Engineering,Engineering,Engineer,Self-paced
STU0012,Student_12,"Geography, Agriculture, Biology",32.16,Health,Health,Nurse,Visual
STU0013,Student_13,"Math, Biology, Agriculture",27.63,Health,Health,Nurse,Hands-On
STU0014,Student_14,"Math, Physics, Computer",30.59,IT,IT,Software Developer,Self-paced
STU0015,Student_15,"Biology, Chemistry, Home Science",30.88,Environmental Science,Environmental Science,Conservationist,Self-paced
STU0016,Student_16,"Math, Business, Geography",29.4,Environmental Science,Environmental Science,Conservationist,Visual
STU0017,Student_17,"Geography, Agriculture, Biology",27.66,Environmental Science,Environmental Science,Conservationist,Hands-On
STU0018,Student_18,"Math, Business, Geography",30.9,IT,IT,Software Developer,Self-paced
STU0019,Student_19,"Math, Physics, Chemistry",39.05,IT,IT,Software Developer,Self-paced
STU0020,Student_20,"English, Kiswahili, Business",35.63,Business,Business,Entrepreneur,Visual
STU0021,Student_21,"Math, Biology, Agriculture",32.16,Engineering,Engineering,Engineer,Auditory
STU0022,Student_22,"English, Kiswahili, Business",40.2,Business,Business,Entrepreneur,Self-paced
STU0023,Student_23,"English, History, CRE",30.46,Social Sciences,Social Sciences,Sociologist,Hands-On
STU0024,Student_24,"Math, Computer, English",26.55,Social Sciences,Social Sciences,Sociologist,Self-paced
STU0025,Student_25,"Biology, Chemistry, Home Science",43.02,Health,Health,Nurse,Hands-On
STU0026,Student_26,"English, Kiswahili, Business",26.43,Business,Business,Entrepreneur,Visual
STU0027,Student_27,"English, Kiswahili, Business",43.29,Business,Business,Entrepreneur,Hands-On
STU0028,Student_28,"Math, Biology, Agriculture",31.82,Business,Business,Entrepreneur,Visual
STU0029,Student_29,"Math, Computer, English",38.35,IT,IT,Software Developer,Self-paced
STU0030,Student_30,"Math, Physics, Computer",29.97,IT,IT,Software Developer,Self-paced
STU0031,Student_31,"Math, Biology, Agriculture",41.52,Environmental Science,Environmental Science,Conservationist,Visual
STU0032,Student_32,"Geography, Agriculture, Biology",33.15,Health,Health,Nurse,Hands-On
STU0033,Student_33,"Math, Biology, Agriculture",34.76,Environmental Science,Environmental Science,Conservationist,Hands-On
STU0034,Student_34,"Math, Computer, English",37.02,Engineering,Engineering,Engineer,Auditory
STU0035,Student_35,"Math, Business, Geography",31.86,Environmental Science,Environmental Science,Conservationist,Hands-On
STU0036,Student_36,"Math, Business, Geography",39.73,Engineering,Engineering,Engineer,Visual
